plot_id,tier,MMP,MAT,MaxTemp,MinTemp,BurnedAreaMean
PE_WAY_C_1,Peru_2018,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451342582703
PE_WAY_C_2,Peru_2018,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_3,Peru_2018,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_4,Peru_2018,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451223373413
PE_WAY_C_5,Peru_2018,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_ACJ_B_1,Peru_2019,226.124862670898,9.00870418548584,14.8341569900513,2.61831188201904,1.11118566989899
PE_ACJ_B_2,Peru_2019,226.115112304688,9.00880813598633,14.8343286514282,2.61865973472595,1.11118566989899
PE_ACJ_B_3,Peru_2019,226.060501098633,9.00939273834229,14.8353061676025,2.62061095237732,1.11118566989899
PE_ACJ_B_4,Peru_2019,226.028884887695,9.00973033905029,14.8358697891235,2.62173938751221,1.11118566989899
PE_ACJ_B_5,Peru_2019,226.033813476563,9.00967788696289,14.8357830047607,2.62156391143799,1.11118566989899
PE_ACJ_C_1,Peru_2019,233.179306030273,8.08553409576416,14.0505561828613,0.75135213136673,1.11118566989899
PE_ACJ_C_2,Peru_2019,233.181198120117,8.0848388671875,14.0499992370605,0.75,1.11118566989899
PE_ACJ_C_3,Peru_2019,233.181167602539,8.0848388671875,14.0500001907349,0.75,1.11118566989899
PE_ACJ_C_4,Peru_2019,233.181198120117,8.0848388671875,14.0499992370605,0.75,1.11118566989899
PE_ACJ_C_5,Peru_2019,233.181182861328,8.0848388671875,14.0500011444092,0.75,1.11118566989899
PE_ACJ_NB_1,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_2,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_3,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_4,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_5,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_PIL_B_1,Peru_2019,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.700324654579163
PE_PIL_B_2,Peru_2019,236.452713012695,7.64848613739014,13.5499992370605,-0.75,0.701537370681763
PE_PIL_B_3,Peru_2019,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.700751602649689
PE_PIL_B_4,Peru_2019,236.452713012695,7.64848566055298,13.5500011444092,-0.75,0.685693860054016
PE_PIL_B_5,Peru_2019,236.452682495117,7.64848566055298,13.5500001907349,-0.75,0.625388026237488
PE_PIL_C_1,Peru_2019,236.452682495117,7.64848613739014,13.5500011444092,-0.75,0.90479189157486
PE_PIL_C_2,Peru_2019,236.452713012695,7.64848613739014,13.5500001907349,-0.75,0.890487015247345
PE_PIL_C_3,Peru_2019,236.452713012695,7.64848566055298,13.5500011444092,-0.75,0.868421852588654
PE_PIL_C_4,Peru_2019,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.745004296302795
PE_PIL_C_5,Peru_2019,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.719983875751495
PE_QUE_B_1,Peru_2019,229.038726806641,6.64772891998291,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_2,Peru_2019,229.038726806641,6.64772939682007,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_3,Peru_2019,229.038726806641,6.64772987365723,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_4,Peru_2019,229.03874206543,6.64772987365723,12.8500003814697,-1.54999995231628,0.464994251728058
PE_QUE_B_5,Peru_2019,229.038726806641,6.64772939682007,12.8500003814697,-1.54999995231628,0.464994221925736
PE_TRE_NB_1,Peru_2019,251.3779296875,7.67954158782959,13.5500001907349,-1.25,0.930353581905365
PE_TRE_NB_2,Peru_2019,251.3779296875,7.67954063415527,13.5499992370605,-1.25,0.930353581905365
PE_TRE_NB_3,Peru_2019,251.3779296875,7.67954111099243,13.5500001907349,-1.25,0.930353581905365
PE_TRE_NB_4,Peru_2019,251.3779296875,7.67954111099243,13.5500011444092,-1.25,0.930353581905365
PE_TRE_NB_5,Peru_2019,251.377944946289,7.67954111099243,13.5499992370605,-1.25,0.93035364151001
PE_TRE_C_1,Peru_2019,268.454467773438,6.83864688873291,12.75,-3.65000009536743,0.930353581905365
PE_TRE_C_2,Peru_2019,268.454467773438,6.83864688873291,12.75,-3.65000009536743,0.930353581905365
PE_TRE_C_3,Peru_2019,268.454467773438,6.83864784240723,12.75,-3.65000033378601,0.93035364151001
PE_TRE_C_4,Peru_2019,268.454467773438,6.83864688873291,12.75,-3.65000009536743,0.930353581905365
PE_TRE_C_5,Peru_2019,268.454467773438,6.83864736557007,12.75,-3.65000009536743,0.93035364151001
PE_WAY_B_1,Peru_2019,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_2,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_3,Peru_2019,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_4,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_5,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_1,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451342582703
PE_WAY_C_2,Peru_2019,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_3,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_4,Peru_2019,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451223373413
PE_WAY_C_5,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_ACJ_B_1,Peru_2020,226.124862670898,9.00870418548584,14.8341569900513,2.61831188201904,1.11118566989899
PE_ACJ_B_2,Peru_2020,226.115112304688,9.00880813598633,14.8343286514282,2.61865973472595,1.11118566989899
PE_ACJ_B_3,Peru_2020,226.060501098633,9.00939273834229,14.8353061676025,2.62061095237732,1.11118566989899
